2026-03-11T07:03:47.140Z | upload | DBMS_LAB_MANUAL[1].docx | 1773212627117-DBMS_LAB_MANUAL[1].docx
2026-03-11T07:04:44.731Z | upload | .env | 1773212684723-.env
2026-03-20T00:32:07.540Z | 1773643620937 | upload | 1234567.txt | 1773966727524-1234567.txt
2026-03-26T06:42:50.728Z | 1773643620937 | upload | DBMS Proj Report sample.pdf | 1774507370666-DBMS Proj Report sample.pdf
2026-03-26T06:42:50.946Z | 1773643620937 | upload | DBMS Proj Report sample1.docx | 1774507370752-DBMS Proj Report sample1.docx
2026-03-26T06:42:50.983Z | 1773643620937 | upload | DBMS_LAB_MANUAL[1].docx | 1774507370963-DBMS_LAB_MANUAL[1].docx
2026-03-26T06:42:51.061Z | 1773643620937 | upload | Devoloupment.dft | 1774507370997-Devoloupment.dft
2026-03-26T06:42:51.101Z | 1773643620937 | upload | ES_Notes_1[1].pdf | 1774507371077-ES_Notes_1[1].pdf
2026-04-02T07:06:36.908Z | 1773643620937 | upload | heartdisease (1).pdf | 1775113596839-heartdisease (1).pdf
2026-04-02T07:06:37.058Z | 1773643620937 | upload | Chronicdisease (3).pdf | 1775113596932-Chronicdisease (3).pdf
2026-04-02T07:08:19.678Z | 1773643620937 | delete | Devoloupment.dft | -
2026-04-15T03:43:48.665Z | 1773643620937 | upload | punyaiwp.pdf | 1776224628612-punyaiwp.pdf
2026-04-15T06:54:02.656Z | 1773643620937 | upload | Binary Classification & Confusion Matrix (1).pptx | 1776236042603-Binary Classification & Confusion Matrix (1).pptx
2026-04-15T06:54:02.728Z | 1773643620937 | upload | Binary Classification & Confusion Matrix.pptx | 1776236042675-Binary Classification & Confusion Matrix.pptx
2026-04-15T06:54:30.198Z | 1773643620937 | upload | rheaaaaaaaaa.pdf | 1776236070056-rheaaaaaaaaa.pdf
2026-04-15T06:55:16.586Z | 1773643620937 | delete | rheaaaaaaaaa.pdf | -
2026-04-15T06:56:45.670Z | 1776236175446 | upload | Binary Classification & Confusion Matrix.pptx | 1776236205611-Binary Classification & Confusion Matrix.pptx
2026-04-17T06:06:44.603Z | 1773643620937 | upload | PRATHAMSHETTY.docx | 1776406004568-PRATHAMSHETTY.docx
2026-04-17T06:07:19.906Z | 1773643620937 | delete | 1234567.txt | -
2026-04-20T15:32:01.422Z | 1773643620937 | permanent-delete | Devoloupment.dft | -
2026-04-20T15:32:04.569Z | 1773643620937 | restore | rheaaaaaaaaa.pdf | -
2026-04-20T15:34:17.794Z | 1773643620937 | upload | sample.txt | 1776699257780-sample.txt
2026-04-20T15:38:01.486Z | 1773643620937 | upload | 152.txt | 1776699481471-152.txt
2026-04-20T15:38:53.670Z | 1773643620937 | upload | 152.txt | 1776699533658-152.txt
2026-04-20T18:03:01.503Z | 1773643620937 | upload | cdreportf.pdf | 1776708181467-cdreportf.pdf
2026-04-21T03:53:33.265Z | 1773643620937 | upload | FileVersionManager.pptx | 1776743613234-FileVersionManager.pptx
2026-04-21T03:53:56.395Z | 1773643620937 | permanent-delete | 1234567.txt | -
2026-05-02T14:57:03.969Z | 1777733795064 | upload | abc.docx | 1777733823954-abc.docx
2026-05-02T14:57:04.014Z | 1777733795064 | upload | Screenshot (4)-PrabhavShanbhag.png | 1777733824002-Screenshot (4)-PrabhavShanbhag.png
2026-05-02T14:57:04.046Z | 1777733795064 | upload | Screenshot (5)-PrabhavShanbhag.png | 1777733824035-Screenshot (5)-PrabhavShanbhag.png
2026-05-02T14:57:04.082Z | 1777733795064 | upload | Screenshot (6)-PrabhavShanbhag.png | 1777733824071-Screenshot (6)-PrabhavShanbhag.png
2026-05-02T14:57:04.110Z | 1777733795064 | upload | Screenshot (7)-PrabhavShanbhag.png | 1777733824102-Screenshot (7)-PrabhavShanbhag.png
2026-05-02T14:57:04.129Z | 1777733795064 | upload | Screenshot (8).png | 1777733824120-Screenshot (8).png
2026-05-02T14:57:04.153Z | 1777733795064 | upload | Screenshot (9).png | 1777733824138-Screenshot (9).png
2026-05-02T14:57:04.180Z | 1777733795064 | upload | Screenshot (10).png | 1777733824167-Screenshot (10).png
2026-05-02T14:57:04.198Z | 1777733795064 | upload | Screenshot (11).png | 1777733824190-Screenshot (11).png
2026-05-02T14:57:04.219Z | 1777733795064 | upload | Screenshot (12).png | 1777733824208-Screenshot (12).png
2026-05-02T14:57:04.248Z | 1777733795064 | upload | Screenshot 2023-12-17 094738.png | 1777733824240-Screenshot 2023-12-17 094738.png
2026-05-02T14:57:04.266Z | 1777733795064 | upload | Screenshot 2023-12-17 095135.png | 1777733824259-Screenshot 2023-12-17 095135.png
2026-05-02T14:57:04.284Z | 1777733795064 | upload | Screenshot 2023-12-17 095710.png | 1777733824276-Screenshot 2023-12-17 095710.png
2026-05-02T14:57:04.305Z | 1777733795064 | upload | Screenshot 2023-12-17 095716.png | 1777733824295-Screenshot 2023-12-17 095716.png
2026-05-02T14:57:04.326Z | 1777733795064 | upload | Screenshot 2023-12-17 095729.png | 1777733824317-Screenshot 2023-12-17 095729.png
2026-05-02T14:57:04.345Z | 1777733795064 | upload | Screenshot 2023-12-17 100002.png | 1777733824336-Screenshot 2023-12-17 100002.png
2026-05-02T14:57:04.365Z | 1777733795064 | upload | Screenshot 2023-12-17 100834.png | 1777733824356-Screenshot 2023-12-17 100834.png
2026-05-02T14:57:04.388Z | 1777733795064 | upload | Screenshot 2025-04-18 203102.png | 1777733824375-Screenshot 2025-04-18 203102.png
2026-05-02T14:57:04.412Z | 1777733795064 | upload | Screenshot 2025-04-18 203138.png | 1777733824400-Screenshot 2025-04-18 203138.png
2026-05-02T14:57:04.427Z | 1777733795064 | upload | Screenshot 2025-04-18 203214.png | 1777733824421-Screenshot 2025-04-18 203214.png
2026-05-02T14:57:04.448Z | 1777733795064 | upload | Screenshot 2025-04-18 203306.png | 1777733824436-Screenshot 2025-04-18 203306.png
2026-05-02T14:57:04.475Z | 1777733795064 | upload | Screenshot 2025-04-18 203349.png | 1777733824459-Screenshot 2025-04-18 203349.png
2026-05-02T14:57:04.500Z | 1777733795064 | upload | Screenshot 2025-04-18 203405.png | 1777733824484-Screenshot 2025-04-18 203405.png
2026-05-02T14:57:04.530Z | 1777733795064 | upload | Screenshot 2025-04-18 203438.png | 1777733824513-Screenshot 2025-04-18 203438.png
2026-05-02T14:57:04.552Z | 1777733795064 | upload | Screenshot 2025-04-18 203540.png | 1777733824540-Screenshot 2025-04-18 203540.png
2026-05-02T14:57:04.577Z | 1777733795064 | upload | Screenshot 2025-04-18 203606.png | 1777733824565-Screenshot 2025-04-18 203606.png
2026-05-02T14:57:04.598Z | 1777733795064 | upload | Screenshot 2025-04-18 203621.png | 1777733824587-Screenshot 2025-04-18 203621.png
2026-05-02T14:57:04.633Z | 1777733795064 | upload | Screenshot 2025-04-18 203654.png | 1777733824609-Screenshot 2025-04-18 203654.png
2026-05-02T14:57:04.667Z | 1777733795064 | upload | Screenshot 2025-04-18 203709.png | 1777733824644-Screenshot 2025-04-18 203709.png
2026-05-02T14:57:04.685Z | 1777733795064 | upload | Screenshot 2025-04-18 203740.png | 1777733824677-Screenshot 2025-04-18 203740.png
2026-05-02T14:57:04.717Z | 1777733795064 | upload | Screenshot 2025-04-18 203752.png | 1777733824699-Screenshot 2025-04-18 203752.png
2026-05-02T14:57:04.744Z | 1777733795064 | upload | Screenshot 2025-04-18 203849.png | 1777733824728-Screenshot 2025-04-18 203849.png
2026-05-02T14:57:04.766Z | 1777733795064 | upload | Screenshot 2025-04-18 203910.png | 1777733824759-Screenshot 2025-04-18 203910.png
2026-05-02T14:57:04.788Z | 1777733795064 | upload | Screenshot 2025-04-18 203918.png | 1777733824776-Screenshot 2025-04-18 203918.png
2026-05-02T14:57:04.808Z | 1777733795064 | upload | Screenshot 2025-04-18 204036.png | 1777733824801-Screenshot 2025-04-18 204036.png
2026-05-02T14:57:04.826Z | 1777733795064 | upload | Screenshot 2025-04-18 204102.png | 1777733824819-Screenshot 2025-04-18 204102.png
2026-05-02T14:57:04.843Z | 1777733795064 | upload | Screenshot 2025-04-18 204153.png | 1777733824836-Screenshot 2025-04-18 204153.png
2026-05-02T14:57:04.860Z | 1777733795064 | upload | Screenshot 2025-04-18 204215.png | 1777733824853-Screenshot 2025-04-18 204215.png
2026-05-02T14:57:04.883Z | 1777733795064 | upload | Screenshot 2025-04-18 204727.png | 1777733824871-Screenshot 2025-04-18 204727.png
2026-05-02T14:57:04.908Z | 1777733795064 | upload | Screenshot 2025-04-19 002845.png | 1777733824893-Screenshot 2025-04-19 002845.png
2026-05-02T14:57:04.932Z | 1777733795064 | upload | Screenshot 2025-04-19 002907.png | 1777733824917-Screenshot 2025-04-19 002907.png
2026-05-02T14:57:04.961Z | 1777733795064 | upload | Screenshot 2025-04-19 002927.png | 1777733824943-Screenshot 2025-04-19 002927.png
2026-05-02T14:57:04.983Z | 1777733795064 | upload | Screenshot 2025-04-19 130821.png | 1777733824973-Screenshot 2025-04-19 130821.png
2026-05-02T14:57:05.001Z | 1777733795064 | upload | Screenshot 2025-04-19 130905.png | 1777733824993-Screenshot 2025-04-19 130905.png
2026-05-02T14:57:05.024Z | 1777733795064 | upload | Screenshot 2025-04-19 131010.png | 1777733825016-Screenshot 2025-04-19 131010.png
2026-05-02T14:57:05.054Z | 1777733795064 | upload | Screenshot 2025-04-19 202551.png | 1777733825034-Screenshot 2025-04-19 202551.png
2026-05-02T14:57:05.074Z | 1777733795064 | upload | Screenshot 2025-05-28 210839.png | 1777733825066-Screenshot 2025-05-28 210839.png
2026-05-02T14:57:05.093Z | 1777733795064 | upload | Screenshot 2025-05-29 205208.png | 1777733825084-Screenshot 2025-05-29 205208.png
2026-05-02T14:57:05.109Z | 1777733795064 | upload | Screenshot 2025-05-29 205347.png | 1777733825102-Screenshot 2025-05-29 205347.png
2026-05-02T14:57:05.144Z | 1777733795064 | upload | Screenshot 2025-08-19 213501.png | 1777733825119-Screenshot 2025-08-19 213501.png
2026-05-02T14:57:05.178Z | 1777733795064 | upload | Screenshot 2025-08-19 213520.png | 1777733825155-Screenshot 2025-08-19 213520.png
2026-05-02T14:57:05.196Z | 1777733795064 | upload | Screenshot 2025-09-12 233112.png | 1777733825187-Screenshot 2025-09-12 233112.png
2026-05-02T14:57:05.213Z | 1777733795064 | upload | Screenshot 2025-09-12 233126.png | 1777733825206-Screenshot 2025-09-12 233126.png
2026-05-02T14:57:05.228Z | 1777733795064 | upload | Screenshot 2025-09-12 233224.png | 1777733825221-Screenshot 2025-09-12 233224.png
2026-05-02T14:57:05.243Z | 1777733795064 | upload | Screenshot 2025-09-15 233257.png | 1777733825236-Screenshot 2025-09-15 233257.png
2026-05-02T14:57:05.260Z | 1777733795064 | upload | Screenshot 2025-09-16 001437.png | 1777733825251-Screenshot 2025-09-16 001437.png
2026-05-02T14:57:05.279Z | 1777733795064 | upload | Screenshot 2025-09-16 115950.png | 1777733825268-Screenshot 2025-09-16 115950.png
2026-05-02T14:57:05.294Z | 1777733795064 | upload | Screenshot 2025-11-16 185350.png | 1777733825288-Screenshot 2025-11-16 185350.png
2026-05-02T14:57:05.309Z | 1777733795064 | upload | Screenshot 2025-11-19 193552.png | 1777733825303-Screenshot 2025-11-19 193552.png
2026-05-02T14:57:05.325Z | 1777733795064 | upload | Screenshot 2025-11-19 193657.png | 1777733825318-Screenshot 2025-11-19 193657.png
2026-05-02T14:57:05.341Z | 1777733795064 | upload | Screenshot 2025-11-19 193851.png | 1777733825334-Screenshot 2025-11-19 193851.png
2026-05-02T14:57:05.357Z | 1777733795064 | upload | Screenshot 2025-11-19 194350.png | 1777733825351-Screenshot 2025-11-19 194350.png
2026-05-02T14:57:05.376Z | 1777733795064 | upload | Screenshot 2025-11-19 195159.png | 1777733825368-Screenshot 2025-11-19 195159.png
2026-05-02T14:57:05.393Z | 1777733795064 | upload | Screenshot 2025-11-19 195559.png | 1777733825385-Screenshot 2025-11-19 195559.png
2026-05-02T14:57:05.409Z | 1777733795064 | upload | Screenshot 2025-11-20 093602.png | 1777733825403-Screenshot 2025-11-20 093602.png
2026-05-02T14:57:05.426Z | 1777733795064 | upload | Screenshot 2025-11-20 093633.png | 1777733825418-Screenshot 2025-11-20 093633.png
2026-05-02T14:57:05.446Z | 1777733795064 | upload | Screenshot 2025-11-20 144954.png | 1777733825435-Screenshot 2025-11-20 144954.png
2026-05-02T14:57:05.466Z | 1777733795064 | upload | Screenshot 2025-11-20 145019.png | 1777733825455-Screenshot 2025-11-20 145019.png
2026-05-02T14:57:05.482Z | 1777733795064 | upload | Screenshot 2026-02-09 190148.png | 1777733825476-Screenshot 2026-02-09 190148.png
2026-05-02T14:57:05.498Z | 1777733795064 | upload | Screenshot 2026-03-25 175917.png | 1777733825491-Screenshot 2026-03-25 175917.png
2026-05-02T14:57:05.517Z | 1777733795064 | upload | Screenshot 2026-03-25 180019.png | 1777733825509-Screenshot 2026-03-25 180019.png
2026-05-02T14:57:05.533Z | 1777733795064 | upload | Screenshot 2026-03-25 180035.png | 1777733825526-Screenshot 2026-03-25 180035.png
2026-05-02T14:57:05.551Z | 1777733795064 | upload | Screenshot 2026-03-25 180426.png | 1777733825544-Screenshot 2026-03-25 180426.png
2026-05-02T14:57:05.566Z | 1777733795064 | upload | Screenshot 2026-03-25 180509.png | 1777733825560-Screenshot 2026-03-25 180509.png
2026-05-02T14:57:05.582Z | 1777733795064 | upload | Screenshot 2026-03-25 180538.png | 1777733825576-Screenshot 2026-03-25 180538.png
2026-05-02T14:57:05.597Z | 1777733795064 | upload | Screenshot 2026-03-25 180833.png | 1777733825591-Screenshot 2026-03-25 180833.png
2026-05-02T14:57:18.963Z | 1777733795064 | delete | Screenshot 2026-03-25 180833.png | -
2026-05-02T14:57:24.895Z | 1777733795064 | delete | Screenshot 2025-11-20 145019.png | -
2026-05-02T14:57:29.077Z | 1777733795064 | delete | Screenshot 2025-11-20 093633.png | -
